Matching.Attribute;biogrid;Ensembl;Ensembl by Entrez/NCBI combined;Label;Human Readable Label;entrez gene/locuslink;ncbi_gene_id;cl1.Status
ENSG00000166598;113036;ENSG00000166598;ENSG00000166598;HSP90B1;HEL35;HEL35|ECGP|GP96|TRA1|GRP94|7184|HSP90B1|HEL-S-125m;7184;"Cluster;Outlier"
ENSG00000169398;111719;ENSG00000169398;ENSG00000169398;PTK2;FAK;FAK|FAK1|FADK|FRNK|pp125FAK|5747|p125FAK|PTK2|PPP1R71;5747;"Cluster;Outlier"
ENSG00000152894;111760;ENSG00000152894;ENSG00000152894;PTPRK;R-PTP-kappa;R-PTP-kappa|5796|RP3-480J14.1|PTPRK;5796;"Cluster;Outlier"
ENSG00000157168;109332;ENSG00000157168;ENSG00000157168;NRG1;NRG1-IT2;NRG1-IT2|HRGA|GGF|NRG1|MSTP131|HGL|GGF2|3084|NDF|HRG1|ARIA|SMDF|HRG|MST131;3084;Outlier
ENSG00000186575;110844;ENSG00000186575;ENSG00000186575;NF2;BANF;4771|BANF|SCH|NF2|ACN;4771;"Cluster;Outlier"
ENSG00000179295;111745;ENSG00000179295;ENSG00000179295;PTPN11;CFC;CFC|SHP2|5781|PTP2C|PTPN11|PTP-1D|NS1|BPTP3|SH-PTP3|SH-PTP2;5781;"Outlier;Overlap"
ENSG00000158458;114917;ENSG00000158458;ENSG00000158458;NRG2;HRG2;9542|HRG2|NTAK|NRG2|DON1;9542;"Cluster;Outlier"
ENSG00000105974;107305;ENSG00000105974;ENSG00000105974;CAV1;BSCL3;BSCL3|VIP21|CGL3|CAV1|857|MSTP085|PPH3|LCCNS;857;"Cluster;Outlier"
ENSG00000170606;109540;ENSG00000170606;ENSG00000170606;HSPA4;hsp70;hsp70|HSPH2|APG-2|HS24/P52|HSPA4|HEL-S-5a|RY|hsp70RY|3308;3308;Outlier
ENSG00000185634;134386;ENSG00000185634;ENSG00000185634;SHC4;SHC4;SHC4|SHCD|RaLP|UNQ6438/PRO21364|399694;399694;"Cluster;Outlier"
ENSG00000100351;114799;ENSG00000100351;ENSG00000100351;GRAP2;GrbX;GrbX|GRPL|9402|GRID|GADS|Grf40|RP3-370M22.1|Mona|P38|GRAP-2|GRAP2|GRBLG|GRB2L;9402;"Cluster;Outlier"
ENSG00000115415;112649;ENSG00000115415;ENSG00000115415;STAT1;STAT1;6772|STAT1|CANDF7|IMD31B|IMD31C|ISGF-3|STAT91|IMD31A;6772;"Cluster;Outlier"
ENSG00000196396;111736;ENSG00000196396;ENSG00000196396;PTPN1;PTPN1;PTPN1|5770|PTP1B;5770;"Cluster;Outlier"
ENSG00000144749;117489;ENSG00000105486;ENSG00000144749;LRIG1;LIG1;LIG1|LRIG1|26018|LIG-1;26018;Outlier
ENSG00000026508;107398;ENSG00000026508;ENSG00000026508;CD44;HUTCH-I;HUTCH-I|IN|CDW44|CSPG8|MIC4|ECMR-III|MDU2|MDU3|960|MC56|AL133330.1|LHR|HCELL|Pgp1|CD44;960;Outlier
ENSG00000166266;113743;ENSG00000166266;ENSG00000166266;CUL5;CUL5;CUL5|VACM1|8065|VACM-1;8065;Outlier
ENSG00000148082;119752;ENSG00000148082;ENSG00000148082;SHC3;SHC3;SHC3|SHCC|NSHC|53358|RAI|RP11-82L18.3|N-Shc;53358;"Cluster;Outlier"
ENSG00000169032;111590;ENSG00000169032;ENSG00000169032;MAP2K1;MKK1;MKK1|PRKMK1|MAP2K1|MEK1|MAPKK1|CFC3|5604;5604;"Cluster;Outlier"
ENSG00000080824;109552;ENSG00000080824;ENSG00000080824;HSP90AA1;HSP90N;HSP90N|HSPCAL1|HSP90AA1|HSPCAL4|EL52|HSP89A|HSPN|3320|Hsp89|LAP-2|HSPC1|Hsp90|LAP2|HSP90A|HSP86|HSPCA;3320;"Cluster;Outlier"
ENSG00000115904;112537;ENSG00000115904;ENSG00000115904;SOS1;GINGF;GINGF|GF1|6654|HGF|GGF1|SOS1|NS4;6654;"Cluster;Outlier"
ENSG00000197943;111352;ENSG00000197943;ENSG00000197943;PLCG2;PLC-IV;PLC-IV|RP11-510J16.3|PLCG2|PLC-gamma-2|5336|APLAID|FCAS3;5336;"Cluster;Outlier"
ENSG00000160691;112361;ENSG00000160691;ENSG00000160691;SHC1;SHC1;6464|SHC1|SHCA|RP11-307C12.1|SHC;6464;"Cluster;Outlier"
ENSG00000173801;109931;ENSG00000173801;ENSG00000173801;JUP;CTNNG;CTNNG|3728|PKGB|JUP|ARVD12|DP3|PDGB|DPIII;3728;"Cluster;Outlier"
ENSG00000141510;113010;ENSG00000141510;ENSG00000141510;TP53;TRP53;7157|TRP53|BCC7|LFS1|TP53|P53;7157;"Outlier;Overlap"
ENSG00000140575;114353;ENSG00000140575;ENSG00000140575;IQGAP1;HUMORFA01;HUMORFA01|IQGAP1|SAR1|8826|p195;8826;"Cluster;Outlier"
ENSG00000065361;108377;ENSG00000065361;ENSG00000065361;ERBB3;ErbB-3;ErbB-3|p180-ErbB3|LCCS2|c-erbB-3|2065|c-erbB3|MDA-BF-1|erbB3-S|p45-sErbB3|ERBB3|p85-sErbB3|HER3;2065;"Cluster;Outlier"
ENSG00000113328;107340;ENSG00000113328;ENSG00000113328;CCNG1;CCNG;CCNG|CCNG1|900;900;"Cluster;Overlap"
ENSG00000138764;107341;ENSG00000138764;ENSG00000138764;CCNG2;CCNG2;CCNG2|901;901;"Cluster;Outlier"
ENSG00000163235;112897;ENSG00000163235;ENSG00000163235;TGFA;TGFA;7039|TGFA|TFGA;7039;Cluster
ENSG00000083168;113703;ENSG00000083168;ENSG00000083168;KAT6A;MYST3;MYST3|ZNF220|7994|KAT6A|RUNXBP2|ZC2HC6A|MOZ;7994;"Cluster;Outlier"
ENSG00000123124;116243;ENSG00000123124;ENSG00000123124;WWP1;AIP5;AIP5|hSDRP1|Tiul1|WWP1|11059;11059;"Cluster;Outlier"
ENSG00000119630;111249;ENSG00000119630;ENSG00000119630;PGF;SHGC-10760;SHGC-10760|PlGF-2|PGFL|D12S1900|5228|PGF|PLGF;5228;Cluster
ENSG00000173511;113266;ENSG00000173511;ENSG00000173511;VEGFB;VEGFL;VEGFL|7423|VEGFB|VRF;7423;"Cluster;Overlap"
ENSG00000099250;114356;ENSG00000099250;ENSG00000099250;NRP1;NRP1;NRP1|BDCA4|CD304|RP11-342D11.1|VEGF165R|8829|NRP|NP1;8829;Cluster
ENSG00000138798;108270;ENSG00000138798;ENSG00000138798;EGF;EGF;1950|EGF|HOMG4|URG;1950;"Cluster;Outlier"
ENSG00000041982;109602;ENSG00000041982;ENSG00000041982;TNC;HXB;HXB|TN-C|TNC|GP|TN|3371|DFNA56|150-225|GMEM|JI;3371;"Cluster;Outlier"
ENSG00000129946;117302;ENSG00000129946;ENSG00000129946;SHC2;SLI;25759|SLI|SHC2|SHCB|SCK;25759;"Cluster;Outlier"
ENSG00000117222;111864;ENSG00000117222;ENSG00000117222;RBBP5;RBQ3;5929|RBQ3|RBBP5|SWD1;5929;"Cluster;Outlier"
ENSG00000114423;107316;ENSG00000114423;ENSG00000114423;CBLB;Nbla00127;Nbla00127|RNF56|868|CBLB|Cbl-b;868;"Cluster;Outlier"
ENSG00000110395;107315;ENSG00000110395;ENSG00000110395;CBL;NSLL;NSLL|RNF55|C-CBL|FRA11B|867|CBL2|CBL;867;"Cluster;Outlier"
ENSG00000115290;109145;ENSG00000115290;ENSG00000115290;GRB14;GRB14;2888|GRB14;2888;"Cluster;Outlier"
ENSG00000115145;115548;ENSG00000115145;ENSG00000115145;STAM2;Hbp;Hbp|10254|STAM2A|STAM2|STAM2B;10254;"Cluster;Outlier"
ENSG00000242689;107670;ENSG00000242689;ENSG00000242689;CNTF;CNTF;CNTF|HCNTF|1270;1270;Outlier
ENSG00000134352;109786;ENSG00000134352;ENSG00000134352;IL6ST;CD130;CD130|CDW130|GP130|3572|IL-6RB|IL6ST;3572;Outlier
ENSG00000042753;107589;ENSG00000042753;ENSG00000042753;AP2S1;FBHOk;FBHOk|HHC3|CLAPS2|FBH3|AP2S1|1175|AP17;1175;"Cluster;Outlier"
ENSG00000129219;111354;ENSG00000129219;ENSG00000129219;PLD2;PLD2;5338|PLD2;5338;"Cluster;Outlier"
ENSG00000109458;108824;ENSG00000109458;ENSG00000109458;GAB1;GAB1;GAB1|2549;2549;"Cluster;Outlier"
ENSG00000117461;114075;ENSG00000117461;ENSG00000117461;PIK3R3;p55-GAMMA;p55-GAMMA|p55|PIK3R3|8503|RP4-533D7.2;8503;"Cluster;Outlier"
ENSG00000113721;111185;ENSG00000113721;ENSG00000113721;PDGFRB;PDGFRB;PDGFRB|PDGFR1|PDGFR-1|5159|JTK12|PDGFR|IBGC4|IMF1|CD140B;5159;"Cluster;Overlap"
ENSG00000138095;115432;ENSG00000138095;ENSG00000138095;LRPPRC;CLONE-23970;10128|CLONE-23970|LSFC|GP130|LRP130|LRPPRC;10128;"Cluster;Outlier"
ENSG00000137801;112915;ENSG00000137801;ENSG00000137801;THBS1;TSP;TSP|7057|THBS|TSP-1|THBS-1|TSP1|THBS1;7057;"Cluster;Outlier"
ENSG00000136573;107109;ENSG00000136573;ENSG00000136573;BLK;BLK;BLK|640|MODY11;640;"Cluster;Outlier"
ENSG00000136504;116315;ENSG00000136504;ENSG00000136504;KAT7;MYST2;MYST2|11143|KAT7|HBO1|HBOA|ZC2HC7;11143;"Cluster;Outlier"
ENSG00000134853;111182;ENSG00000134853;ENSG00000134853;PDGFRA;PDGFR2;PDGFR2|RHEPDGFRA|PDGFRA|PDGFR-2|5156|CD140A;5156;Overlap
ENSG00000155508;114744;ENSG00000155508;ENSG00000155508;CNOT8;Caf1b;9337|Caf1b|POP2|CALIF|CAF1|hCAF1|CNOT8;9337;"Cluster;Outlier"
ENSG00000198791;118938;ENSG00000198791;ENSG00000198791;CNOT7;hCAF-1;hCAF-1|CNOT7|Caf1a|CAF1|29883;29883;"Cluster;Outlier"
ENSG00000126457;109512;ENSG00000126457;ENSG00000126457;PRMT1;IR1B4;IR1B4|HRMT1L2|PRMT1|3276|HCP1|ANM1;3276;"Cluster;Outlier"
ENSG00000133639;107159;ENSG00000133639;ENSG00000133639;BTG1;BTG1;694|BTG1;694;"Cluster;Outlier"
ENSG00000131981;110149;ENSG00000131981;ENSG00000131981;LGALS3;GAL3;GAL3|MAC2|3958|LGALS3|LGALS2|GALBP|GALIG|L31|CBP35;3958;"Cluster;Outlier"
ENSG00000130522;109930;ENSG00000130522;ENSG00000130522;JUND;JUND;3727|JUND|AP-1;3727;"Cluster;Outlier"
ENSG00000128342;110164;ENSG00000128342;ENSG00000128342;LIF;HILDA;HILDA|CDF|LIF|3976|DIA|MLPLI;3976;Outlier
ENSG00000127947;111746;ENSG00000127947;ENSG00000127947;PTPN12;tcag7.1075;tcag7.1075|5782|PTPG1|PTPN12|PTP-PEST;5782;Outlier
ENSG00000106211;109547;ENSG00000106211;ENSG00000106211;HSPB1;HEL-S-102;HEL-S-102|3315|HMN2B|Hsp25|HS.76067|HSP28|HSP27|HSPB1|CMT2F|SRP27;3315;Outlier
ENSG00000124882;108381;ENSG00000124882;ENSG00000124882;EREG;ER;2069|ER|EREG;2069;Outlier
ENSG00000197461;111180;ENSG00000197461;ENSG00000197461;PDGFA;PDGF-A;5154|PDGF-A|PDGFA|PDGF1;5154;Overlap
ENSG00000124181;111351;ENSG00000124181;ENSG00000124181;PLCG1;NCKAP3;NCKAP3|RP3-511B24.2|PLC-II|5335|PLCG1|PLCgamma1|PLC1|PLC148;5335;"Cluster;Outlier"
ENSG00000100311;111181;ENSG00000100311;ENSG00000100311;PDGFB;IBGC5;IBGC5|5155|SSV|PDGFB|PDGF2|c-sis|PDGF-2|SIS|LL22NC03-10C3.2;5155;Overlap
ENSG00000123384;110215;ENSG00000123384;ENSG00000123384;LRP1;TGFBR5;TGFBR5|APR|LRP1|APOER|4035|CD91|A2MR|LRP|IGFBP3R|LRP1A;4035;"Cluster;Outlier"
ENSG00000122756;107671;ENSG00000122756;ENSG00000122756;CNTFR;CNTFR;CNTFR|1271|RP11-296L22.1;1271;Outlier
ENSG00000122705;107621;ENSG00000122705;ENSG00000122705;CLTA;CLTA;1211|CLTA|LCA;1211;"Cluster;Outlier"
ENSG00000166949;110263;ENSG00000166949;ENSG00000166949;SMAD3;MADH3;MADH3|LDS1C|SMAD3|4088|HSPC193|LDS3|HsT17436|JV15-2;4088;Outlier
ENSG00000092969;112900;ENSG00000092969;ENSG00000092969;TGFB2;TGFB2;TGFB2|TGF-beta2|LDS4|7042;7042;Outlier
ENSG00000163513;112906;ENSG00000163513;ENSG00000163513;TGFBR2;AAT3;AAT3|LDS1B|7048|LDS2|LDS2B|TGFR-2|RIIC|MFS2|TAAD2|FAA3|TGFbeta-RII|TGFBR2;7048;Outlier
ENSG00000113658;110265;ENSG00000113658;ENSG00000113658;SMAD5;DWFC;DWFC|MADH5|JV5-1|4090|SMAD5;4090;Outlier
ENSG00000170365;110261;ENSG00000170365;ENSG00000170365;SMAD1;SMAD1;SMAD1|4086|MADH1|MADR1|JV4-1|BSP-1|JV41|BSP1;4086;Outlier
ENSG00000118816;116179;ENSG00000118816;ENSG00000118816;CCNI;CYI;CYI|CCNI|CCNI1|CYC1|10983;10983;Outlier
ENSG00000071051;114020;ENSG00000071051;ENSG00000071051;NCK2;NCK2;8440|NCK2|GRB4|NCKbeta;8440;"Cluster;Outlier"
ENSG00000112578;107167;ENSG00000112578;ENSG00000112578;BYSL;BYSTIN;BYSTIN|RP5-973N23.2|705|BYSL;705;"Cluster;Outlier"
ENSG00000112062;107819;ENSG00000112062;ENSG00000112062;MAPK14;CSBP;CSBP|p38ALPHA|CSBP2|PRKM15|SAPK2A|CSBP1|RP1-179N16.5|MAPK14|PRKM14|Mxi2|p38|1432|CSPB1|RK|EXIP;1432;"Cluster;Outlier"
ENSG00000111640;108868;ENSG00000111640;ENSG00000111640;GAPDH;G3PD;G3PD|2597|CDABP0047|GAPDH|HEL-S-162eP|GAPD;2597;Outlier
ENSG00000121022;116183;ENSG00000121022;ENSG00000121022;COPS5;COPS5;10987|COPS5|JAB1|CSN5|MOV-34|SGN5;10987;Outlier
ENSG00000145604;112393;ENSG00000145604;ENSG00000145604;SKP2;p45;p45|FBL1|FLB1|6502|FBXL1|SKP2;6502;Outlier
ENSG00000163743;117406;ENSG00000163743;ENSG00000163743;RCHY1;ZNF363;ZNF363|PRO1996|ZCHY|CHIMP|PIRH2|RCHY1|25898|ARNIP|RNF199;25898;Outlier
ENSG00000139842;114029;ENSG00000139842;ENSG00000139842;CUL4A;CUL4A;CUL4A|8451|RP11-391H12.1;8451;"Cluster;Outlier"
ENSG00000073111;110339;ENSG00000073111;ENSG00000073111;MCM2;MITOTIN;MITOTIN|D3S3194|CDCL1|cdc19|CCNL1|BM28|4171|MCM2;4171;Outlier
ENSG00000166913;113361;ENSG00000166913;ENSG00000166913;YWHAB;YWHAA;YWHAA|YWHAB|GW128|HS1|RP1-148E22.1|HEL-S-1|7529|KCIP-1;7529;Outlier
ENSG00000096968;109920;ENSG00000096968;ENSG00000096968;JAK2;THCYT3;3717|THCYT3|JTK10|JAK2;3717;Outlier
ENSG00000064012;107291;ENSG00000064012;ENSG00000064012;CASP8;ALPS2B;ALPS2B|CASP8|841|Casp-8|MCH5|MACH|FLICE|CAP4;841;Outlier
ENSG00000173207;107582;ENSG00000173207;ENSG00000173207;CKS1B;RP11-307C12.6;RP11-307C12.6|PNAS-18|ckshs1|PNAS-16|CKS1|1163|CKS1B;1163;Outlier
ENSG00000134308;116168;ENSG00000134308;ENSG00000134308;YWHAQ;YWHAQ;14-3-3|1C5|YWHAQ|HS1|10971;10971;Outlier
ENSG00000125347;109867;ENSG00000125347;ENSG00000125347;IRF1;IRF1;IRF1|IRF-1|3659|MAR;3659;Outlier
ENSG00000163806;128828;ENSG00000163806;ENSG00000163806;SPDYA;RINGO3;RINGO3|SPY1|RINGOA|SPDYA|SPDY1|245711;245711;Outlier
ENSG00000175305;114582;ENSG00000175305;ENSG00000175305;CCNE2;CYCE2;9134|CYCE2|CCNE2;9134;"Cluster;Outlier"
ENSG00000097007;106543;ENSG00000097007;ENSG00000097007;ABL1;v-abl;v-abl|bcr/abl|25|JTK7|ABL1|c-ABL1|c-ABL|RP11-83J21.1|ABL|p150;25;Outlier
ENSG00000164068;121971;ENSG00000164068;ENSG00000164068;RNF123;KPC1;KPC1|RNF123|63891|FP1477;63891;Outlier
ENSG00000114030;110034;ENSG00000114030;ENSG00000114030;KPNA1;IPOA5;3836|IPOA5|SRP1|NPI-1|RCH2|KPNA1;3836;Outlier
ENSG00000145386;107331;ENSG00000145386;ENSG00000145386;CCNA2;CCNA2;CCNA2|CCN1|CCNA|890;890;Outlier
ENSG00000008018;111662;ENSG00000008018;ENSG00000008018;PSMB1;PSC5;PSC5|PSMB1|5689|HC5|PMSB1;5689;Outlier
ENSG00000067560;106880;ENSG00000067560;ENSG00000067560;RHOA;ARH12;387|ARH12|ARHA|RHOH12|RHOA|RHO12;387;Outlier
ENSG00000118971;107334;ENSG00000118971;ENSG00000118971;CCND2;CCND2;894|CCND2|MPPH3|KIAK0002;894;"Outlier;Overlap"
ENSG00000118515;112344;ENSG00000118515;ENSG00000118515;SGK1;SGK;SGK|6446|SGK1|RP1-188K17.1;6446;Outlier
ENSG00000105173;107338;ENSG00000105173;ENSG00000105173;CCNE1;CCNE1;CCNE1|898|CCNE;898;Outlier
ENSG00000108953;113363;ENSG00000108953;ENSG00000108953;YWHAE;YWHAE;YWHAE|HEL2|MDCR|7531|14-3-3E|MDS|KCIP-1;7531;Outlier
ENSG00000142208;106710;ENSG00000142208;ENSG00000142208;AKT1;PRKBA;PRKBA|RAC|PKB|CWS6|207|AKT1|AKT|RAC-ALPHA|PKB-ALPHA;207;Outlier
ENSG00000117676;112109;ENSG00000117676;ENSG00000117676;RPS6KA1;HU-1;HU-1|RSK1|MAPKAPK1A|RP11-492M19.2|RPS6KA1|p90Rsk|RSK|6195;6195;Outlier
ENSG00000164924;113366;ENSG00000164924;ENSG00000164924;YWHAZ;YWHAD;14-3-3-zeta|YWHAD|HEL4|7534|HEL-S-3|YWHAZ|KCIP-1;7534;Outlier
ENSG00000177885;109142;ENSG00000177885;ENSG00000177885;GRB2;NCKAP2;NCKAP2|MST084|2885|ASH|Grb3-3|GRB2|MSTP084|EGFRBP-GRB2;2885;"Cluster;Outlier"
ENSG00000132646;111142;ENSG00000132646;ENSG00000132646;PCNA;PCNA;PCNA|5111|ATLD2;5111;Outlier
ENSG00000151876;117656;ENSG00000151876;ENSG00000151876;FBXO4;FBXO4;26272|FBXO4|FBX4;26272;"Cluster;Outlier"
ENSG00000082701;109187;ENSG00000082701;ENSG00000082701;GSK3B;GSK3B;2932|GSK3B;2932;Outlier
ENSG00000139687;111860;ENSG00000139687;ENSG00000139687;RB1;RB1;RB1|OSRC|RB|PPP1R130|pRb|p105-Rb|RP11-174I10.1|pp110|5925;5925;"Cluster;Outlier"
ENSG00000124762;107460;ENSG00000124762;ENSG00000124762;CDKN1A;CDKN1A;CDKN1A|1026|CIP1|p21CIP1|CDKN1|WAF1|CAP20|P21|MDA-6|SDI1;1026;"Outlier;Overlap"
ENSG00000170312;107420;ENSG00000170312;ENSG00000170312;CDK1;P34CDC2;983|P34CDC2|CDK1|CDC28A|CDC2;983;Outlier
ENSG00000133703;110043;ENSG00000133703;ENSG00000133703;KRAS;KI-RAS;KI-RAS|NS|RASK2|CFC2|K-RAS2B|K-RAS2A|K-RAS4B|NS3|K-RAS4A|KRAS|C-K-RAS|3845|KRAS2|KRAS1;3845;"Cluster;Outlier"
ENSG00000171720;114368;ENSG00000171720;ENSG00000171720;HDAC3;HDAC3;HDAC3|HD3|RPD3-2|8841|RPD3;8841;"Cluster;Outlier"
ENSG00000174775;109501;ENSG00000174775;ENSG00000174775;HRAS;C-H-RAS;C-H-RAS|HAMSV|p21ras|3265|C-BAS/HAS|HRAS1|CTLO|H-RASIDX|HRAS|C-HA-RAS1|RASH1;3265;"Outlier;Overlap"
ENSG00000164885;107455;ENSG00000164885;ENSG00000164885;CDK5;CDK5;CDK5|1020|PSSALRE;1020;"Outlier;Overlap"
ENSG00000114166;114375;ENSG00000114166;ENSG00000114166;KAT2B;KAT2B;8850|KAT2B|P/CAF|CAF|PCAF;8850;Outlier
ENSG00000134057;107332;ENSG00000134057;ENSG00000134057;CCNB1;CCNB1;891|CCNB1|CCNB;891;Outlier
ENSG00000166946;117117;ENSG00000166946;ENSG00000166946;CCNDBP1;GCIP;GCIP|23582|DIP1|CCNDBP1|HHM;23582;Outlier
ENSG00000150991;113164;ENSG00000150991;ENSG00000150991;UBC;UBC;UBC|7316|HMG20;7316;Outlier
ENSG00000168610;112651;ENSG00000168610;ENSG00000168610;STAT3;ADMIO;ADMIO|6774|STAT3|APRF|HIES;6774;"Cluster;Outlier"
ENSG00000105810;107456;ENSG00000105810;ENSG00000105810;CDK6;CDK6;CDK6|PLSTIRE|MCPH12|1021;1021;"Cluster;Outlier"
ENSG00000115966;107776;ENSG00000115966;ENSG00000115966;ATF2;CREB2;CREB2|ATF2|1386|CREB-2|TREB7|CRE-BP1|HB16;1386;Outlier
ENSG00000004897;107431;ENSG00000004897;ENSG00000004897;CDC27;CDC27Hs;CDC27Hs|APC3|NUC2|HNUC|996|D0S1430E|CDC27|ANAPC3|H-NUC|D17S978E;996;Outlier
ENSG00000166508;110344;ENSG00000166508;ENSG00000166508;MCM7;P1.1-MCM3;P1.1-MCM3|4176|MCM7|P1CDC47|CDC47|PNAS146|P85MCM|PPP1R104|MCM2;4176;"Cluster;Outlier"
ENSG00000039068;107434;ENSG00000039068;ENSG00000039068;CDH1;LCAM;LCAM|CDHE|ECAD|CDH1|999|CD324|Arc-1|UVO;999;"Cluster;Outlier"
ENSG00000066044;108309;ENSG00000066044;ENSG00000066044;ELAVL1;HUR;1994|HUR|Hua|MelG|ELAV1|ELAVL1;1994;Outlier
ENSG00000148737;112795;ENSG00000148737;ENSG00000148737;TCF7L2;RP11-357H24.1;RP11-357H24.1|TCF7L2|TCF-4|TCF4|6934;6934;Outlier
